,x,y,u
0.282,0.864911524,0.977985458,0.612946936
0.283,0.864736007,0.977853344,0.615067579
0.284,0.864563359,0.977721075,0.617187663
0.285,0.864393587,0.977588656,0.619307187
0.286,0.864226695,0.977456089,0.621426147
0.287,0.864062692,0.977323376,0.623544542
0.288,0.863901583,0.977190522,0.625662371
0.289,0.863743376,0.977057527,0.627779631
0.29,0.863588076,0.976924397,0.629896321
0.291,0.86343569,0.976791133,0.632012438
0.292,0.863286226,0.976657738,0.634127981
0.293,0.863139688,0.976524215,0.636242947
0.294,0.862996084,0.976390568,0.638357335
0.295,0.862855419,0.976256799,0.640471143
0.296,0.862717702,0.97612291,0.642584369
0.297,0.862582937,0.975988906,0.644697011
0.298,0.862451131,0.975854788,0.646809067
0.299,0.862322291,0.975720561,0.648920535
0.3,0.862196423,0.975586226,0.651031414
0.301,0.862073533,0.975451786,0.653141701
0.302,0.861953628,0.975317246,0.655251394
0.303,0.861836714,0.975182607,0.657360492
0.304,0.861722797,0.975047872,0.659468992
0.305,0.861611884,0.974913045,0.661576893
0.306,0.86150398,0.974778129,0.663684193
0.307,0.861399092,0.974643126,0.66579089
0.308,0.861297227,0.97450804,0.667896982
0.309,0.86119839,0.974372873,0.670002467
0.31,0.861102588,0.974237628,0.672107343
0.311,0.861009827,0.974102309,0.674211608
0.312,0.860920112,0.973966919,0.676315261
0.313,0.860833451,0.973831459,0.678418299
0.314,0.860749849,0.973695935,0.680520721
0.315,0.860669313,0.973560347,0.682622524
0.316,0.860591848,0.9734247,0.684723707
0.317,0.86051746,0.973288997,0.686824268
0.318,0.860446157,0.97315324,0.688924205
0.319,0.860377943,0.973017433,0.691023516
0.32,0.860312824,0.972881578,0.693122199
0.321,0.860250808,0.972745679,0.695220252
0.322,0.860191899,0.972609739,0.697317674
0.323,0.860136105,0.97247376,0.699414462
0.324,0.860083429,0.972337746,0.701510614
0.325,0.86003388,0.9722017,0.70360613
0.326,0.859987462,0.972065625,0.705701005
0.327,0.859944182,0.971929523,0.70779524
0.328,0.859904046,0.971793399,0.709888832
0.329,0.859867058,0.971657255,0.711981779
0.33,0.859833226,0.971521093,0.714074078
0.331,0.859802556,0.971384918,0.71616573
0.332,0.859775052,0.971248733,0.71825673
0.333,0.859750721,0.971112539,0.720347078
0.334,0.859729568,0.970976342,0.722436771
0.335,0.8597116,0.970840142,0.724525809
0.336,0.859696822,0.970703945,0.726614188
0.337,0.85968524,0.970567752,0.728701907
0.338,0.859676859,0.970431567,0.730788963
0.339,0.859671686,0.970295393,0.732875356
0.34,0.859669726,0.970159233,0.734961084
0.341,0.859670985,0.97002309,0.737046143
0.342,0.859675469,0.969886968,0.739130533
0.343,0.859683182,0.969750869,0.741214252
0.344,0.859694132,0.969614797,0.743297297
0.345,0.859708322,0.969478754,0.745379667
0.346,0.85972576,0.969342744,0.74746136
0.347,0.859746451,0.96920677,0.749542375
0.348,0.859770399,0.969070836,0.751622708
0.349,0.859797612,0.968934943,0.753702358
0.35,0.859828093,0.968799096,0.755781324
0.351,0.85986185,0.968663298,0.757859603
0.352,0.859898887,0.968527551,0.759937194
0.353,0.85993921,0.968391859,0.762014095
0.354,0.859982824,0.968256226,0.764090304
0.355,0.860029735,0.968120653,0.766165818
0.356,0.860079948,0.967985145,0.768240637
0.357,0.860133469,0.967849704,0.770314758
0.358,0.860190303,0.967714335,0.772388179
0.359,0.860250455,0.967579039,0.774460899
0.36,0.860313931,0.96744382,0.776532916
0.361,0.860380737,0.967308682,0.778604227
0.362,0.860450877,0.967173627,0.780674831
0.363,0.860524357,0.967038659,0.782744726
0.364,0.860601182,0.96690378,0.78481391
0.365,0.860681357,0.966768995,0.786882381
0.366,0.860764889,0.966634306,0.788950138
0.367,0.860851781,0.966499717,0.791017178
0.368,0.86094204,0.96636523,0.7930835
0.369,0.86103567,0.966230849,0.795149101
0.37,0.861132677,0.966096577,0.797213981
0.371,0.861233066,0.965962418,0.799278136
0.372,0.861336842,0.965828375,0.801341566
0.373,0.86144401,0.96569445,0.803404268
0.374,0.861554575,0.965560647,0.80546624
0.375,0.861668543,0.96542697,0.807527481
0.376,0.861785919,0.965293421,0.809587989
0.377,0.861906707,0.965160003,0.811647761
0.378,0.862030913,0.965026721,0.813706797
0.379,0.862158542,0.964893577,0.815765094
0.38,0.862289599,0.964760575,0.817822649
0.381,0.862424088,0.964627718,0.819879463
0.382,0.862562016,0.964495008,0.821935532
0.383,0.862703386,0.96436245,0.823990854
0.384,0.862848204,0.964230046,0.826045428
0.385,0.862996475,0.9640978,0.828099253
0.386,0.863148204,0.963965715,0.830152325
0.387,0.863303395,0.963833795,0.832204644
0.388,0.863462054,0.963702042,0.834256207
0.389,0.863624185,0.96357046,0.836307012
0.39,0.863789794,0.963439053,0.838357059
0.391,0.863958885,0.963307822,0.840406344
0.392,0.864131462,0.963176773,0.842454866
0.393,0.864307532,0.963045907,0.844502623
0.394,0.864487098,0.962915229,0.846549614
0.395,0.864670165,0.962784742,0.848595836
0.396,0.864856738,0.962654448,0.850641288
0.397,0.865046822,0.962524352,0.852685967
0.398,0.865240422,0.962394456,0.854729872
0.399,0.865437542,0.962264765,0.856773001
0.4,0.865638187,0.96213528,0.858815353
0.401,0.865842362,0.962006006,0.860856925
0.402,0.86605007,0.961876945,0.862897715
0.403,0.866261318,0.961748102,0.864937722
0.404,0.866476109,0.961619479,0.866976944
0.405,0.866694449,0.96149108,0.869015379
0.406,0.866916341,0.961362908,0.871053025
0.407,0.86714179,0.961234966,0.873089881
0.408,0.867370801,0.961107258,0.875125943
0.409,0.867603379,0.960979787,0.877161212
0.41,0.867839527,0.960852557,0.879195684
0.411,0.868079251,0.96072557,0.881229358
0.412,0.868322554,0.96059883,0.883262233
0.413,0.868569442,0.960472341,0.885294306
0.414,0.868819918,0.960346106,0.887325575
0.415,0.869073988,0.960220127,0.889356038
0.416,0.869331655,0.96009441,0.891385695
0.417,0.869592924,0.959968956,0.893414542
0.418,0.869857799,0.959843769,0.895442579
0.419,0.870126285,0.959718853,0.897469803
0.42,0.870398385,0.95959421,0.899496212
0.421,0.870674105,0.959469845,0.901521805
0.422,0.870953449,0.959345761,0.90354658
0.423,0.87123642,0.959221961,0.905570535
0.424,0.871523024,0.959098448,0.907593668
0.425,0.871813264,0.958975226,0.909615977
0.426,0.872107144,0.958852298,0.911637461
0.427,0.872404669,0.958729668,0.913658118
0.428,0.872705843,0.958607338,0.915677945
0.429,0.87301067,0.958485313,0.917696941
0.43,0.873319154,0.958363596,0.919715105
0.431,0.8736313,0.958242189,0.921732434
0.432,0.873947111,0.958121098,0.923748927
0.433,0.874266591,0.958000324,0.925764581
0.434,0.874589746,0.957879871,0.927779395
0.435,0.874916578,0.957759743,0.929793368
0.436,0.875247091,0.957639943,0.931806496
0.437,0.87558129,0.957520475,0.93381878
0.438,0.875919179,0.957401341,0.935830216
0.439,0.876260762,0.957282546,0.937840802
0.44,0.876606043,0.957164093,0.939850538
0.441,0.876955025,0.957045985,0.941859421
0.442,0.877307712,0.956928225,0.94386745
0.443,0.877664109,0.956810817,0.945874622
0.444,0.878024219,0.956693765,0.947880936
0.445,0.878388046,0.956577071,0.94988639
0.446,0.878755595,0.95646074,0.951890982
0.447,0.879126868,0.956344775,0.95389471
0.448,0.87950187,0.956229178,0.955897574
0.449,0.879880604,0.956113954,0.957899569
0.45,0.880263075,0.955999107,0.959900696
0.451,0.880649285,0.955884638,0.961900952
0.452,0.881039239,0.955770553,0.963900336
0.453,0.881432941,0.955656854,0.965898845
0.454,0.881830393,0.955543544,0.967896477
0.455,0.882231601,0.955430628,0.969893232
0.456,0.882636567,0.955318108,0.971889107
0.457,0.883045294,0.955205989,0.9738841
0.458,0.883457788,0.955094273,0.97587821
0.459,0.883874051,0.954982964,0.977871434
0.46,0.884294087,0.954872066,0.979863772
0.461,0.884717899,0.954761582,0.981855221
0.462,0.885145491,0.954651515,0.983845779
0.463,0.885576866,0.954541869,0.985835445
0.464,0.886012029,0.954432647,0.987824216
0.465,0.886450982,0.954323853,0.989812092
0.466,0.886893729,0.954215491,0.991799069
0.467,0.887340273,0.954107563,0.993785148
0.468,0.887790618,0.954000073,0.995770324
0.469,0.888244767,0.953893026,0.997754598
0.47,0.888702724,0.953786423,0.999737967
0.471,0.889164492,0.953680269,1.001720429
0.472,0.889630073,0.953574568,1.003701983
0.473,0.890099473,0.953469322,1.005682626
0.474,0.890572694,0.953364535,1.007662357
0.475,0.891049738,0.953260211,1.009641174
0.476,0.89153061,0.953156353,1.011619076
0.477,0.892015313,0.953052965,1.013596061
0.478,0.89250385,0.952950049,1.015572126
0.479,0.892996224,0.952847611,1.01754727
0.48,0.893492438,0.952745653,1.019521491
0.481,0.893992496,0.952644178,1.021494788
0.482,0.8944964,0.952543191,1.023467159
0.483,0.895004154,0.952442694,1.025438601
0.484,0.895515761,0.952342691,1.027409114
0.485,0.896031223,0.952243187,1.029378695
0.486,0.896550545,0.952144183,1.031347343
0.487,0.897073729,0.952045684,1.033315056
0.488,0.897600778,0.951947694,1.035281831
0.489,0.898131695,0.951850215,1.037247668
0.49,0.898666483,0.951753252,1.039212565
0.491,0.899205145,0.951656807,1.041176519
0.492,0.899747684,0.951560885,1.043139529
0.493,0.900294103,0.951465489,1.045101594
0.494,0.900844405,0.951370622,1.047062711
0.495,0.901398592,0.951276288,1.049022878
0.496,0.901956668,0.951182491,1.050982095
0.497,0.902518636,0.951089234,1.052940359
0.498,0.903084497,0.950996521,1.054897668
0.499,0.903654255,0.950904354,1.056854021
0.5,0.904227914,0.950812739,1.058809416
0.501,0.904805474,0.950721677,1.060763851
0.502,0.90538694,0.950631174,1.062717324
0.503,0.905972314,0.950541232,1.064669834
0.504,0.906561599,0.950451855,1.066621379
0.505,0.907154797,0.950363046,1.068571957
0.506,0.907751911,0.950274809,1.070521566
0.507,0.908352944,0.950187148,1.072470205
0.508,0.908957898,0.950100066,1.074417872
0.509,0.909566776,0.950013567,1.076364565
0.51,0.91017958,0.949927654,1.078310283
0.511,0.910796313,0.949842332,1.080255023
0.512,0.911416977,0.949757602,1.082198783
0.513,0.912041576,0.94967347,1.084141563
0.514,0.912670111,0.949589938,1.086083361
0.515,0.913302585,0.94950701,1.088024174
0.516,0.913939,0.949424691,1.089964001
0.517,0.91457936,0.949342982,1.09190284
0.518,0.915223665,0.949261889,1.093840689
0.519,0.915871919,0.949181414,1.095777548
0.52,0.916524124,0.949101561,1.097713413
0.521,0.917180282,0.949022334,1.099648283
0.522,0.917840396,0.948943736,1.101582157
