,x,y
47.5,0.052696351,3.182245994
47.6,0.033850408,2.88079067
47.7,0.023104976,2.602463197
47.8,0.016627995,2.348229862
47.9,0.012530347,2.117311511
48,0.009828284,1.908233425
48.1,0.007982881,1.719285548
48.2,0.006685093,1.548729479
48.3,0.005750313,1.394891871
48.4,0.005064192,1.25620479
48.5,0.004553583,1.131220478
48.6,0.004170341,1.01861354
48.7,0.003881968,0.917176983
48.8,0.003666039,0.82581533
48.9,0.003506779,0.743536544
49,0.003392908,0.669443631
49.1,0.003316254,0.602726404
49.2,0.003270832,0.542653643
49.3,0.00325223,0.488565772
49.4,0.003257188,0.439868087
49.5,0.003283303,0.396024552
49.6,0.003328821,0.356552124
49.7,0.003392489,0.321015601
49.8,0.00347345,0.289022945
49.9,0.003571159,0.260221041
50,0.00368533,0.234291866
50.1,0.003815893,0.210949024
